name,dimension_units,depth,height,width,
SML B57 Range 4 Standard Shelf,inches,14.5,13,35.5,
SML B57 Range 4 Short Shelf,inches,14.5,10.75,35.5,
SML B57 Range 3 Short Shelf,inches,14.5,11.5,35.5,
SML B57 Range 3 Standard Shelf,inches,14.5,13,35.5,
SML B57 Range 2 Oversize Shelf,inches,41.5,18,94,
Microfilm Drawer,inches,27,4,22,Combine into 1
"SML B51-B Oversize Shelf, Short",inches,48,5,96,
"SML B51-B Oversize Shelf, Standard",inches,48,12.5,96,
"SML B51-B Range 1 Shelf, Tall",inches,48,14.5,96,
"SML B51-B Range 1 Shelf, Medium",inches,48,16.5,96,
"SML B51-B Range 2 Oversize Shelf, Top",inches,48,28,96,
"SML B51-B Range 1 Oversize Shelf, Top",inches,48,9,96,
"SML B51-B Shallow Oversize Shelf, Top",inches,42,13,96,
"SML B51-B Shallow Oversize Shelf, Standard",inches,42,12.5,96,
"SML B51-B Shallow Oversize Shelf, Short",inches,42,5,96,
"SML 51-B Wooden Shelf, Tall 1",inches,18,28,33,
"SML 51-B Wooden Shelf, Tall 2",inches,18,22,33,
MSSA Staff Area Shelf,inches,15,11,41,